"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
19,-8.14487114502935,0.595093755839103,-0.42548300509305,1.64357927673357e-10,1.06396323770069,1566017.89180721,1.0701316376248e-16,0.0620008364046578,0,0,0,-8.14487114502935,-8.08287030862469,-8.14487114502935,1.06396323770069,1566017.89180721,1.61629968668346e-16
20,-7.64758490511752,0.567275806808968,-0.41166577979543,1.61653701863978e-10,1.03042776567076,137577.297617128,3.86666007854173e-16,0.0299725584394693,0,0,0,-7.64758490511752,-7.61761234667805,-7.64758490511752,1.03042776567076,137577.297617128,2.69830454276606e-16
21,-7.64299214732978,0.552253881149792,-0.399061021730859,1.23962069049132e-10,1.05088746821353,19200.1093568775,-2.43508916734451e-16,0.0496350083233597,0,0,0,-7.64299214732978,-7.59335713900642,-7.64299214732978,1.05088746821353,19200.1093568775,1.89632260511669e-16
22,-7.82101499090019,0.596931110214528,-0.389229485748324,3.40887092292559e-10,1.02570342091754,105850.692021451,5.16438743621469e-16,0.0253785317037207,0,0,0,-7.82101499090019,-7.79563645919647,-7.82101499090019,1.02570342091754,105850.69202145,5.50431613868499e-16
23,-8.01902175815083,0.589900823576812,-0.428199982484159,2.59390044909211e-09,1.03609605433004,284666.295236479,1.81082001245632e-16,0.0354598559748898,0,0,0,-8.01902175815083,-7.98356190217594,-8.01902175815083,1.03609605433004,284666.295236478,2.23147118067541e-16
24,-7.49826454538131,0.515361232063692,-0.43422574281541,9.40131714677466e-12,1.02897731017653,41652.3938838825,-3.88886453903423e-17,0.0285653992792296,0.0111111111111111,0,0,-7.49826454538131,-7.46969914610208,-7.49826454538131,1.02897731017653,41652.3938838825,8.5065056850316e-17
25,-8.03494281570834,0.580405259883357,-0.396998290148477,8.75184199132345e-11,1.05795411006768,838782.379769744,2.92297050761034e-16,0.0563369580332141,0.0277777777777778,0,0,-8.03494281570834,-7.97860585767513,-8.03494281570834,1.05795411006768,838782.379769741,3.23306196629384e-16
26,-7.69049933046885,0.604692256080807,-0.368692027883255,3.63921896523044e-10,1.04655935638623,317720.532542711,4.27805938822227e-16,0.0455079111398472,0,0,0,-7.69049933046885,-7.644991419329,-7.69049933046885,1.04655935638623,317720.53254271,8.54717531319061e-17
27,-7.77862478304738,0.556523755206038,-0.320041122351342,1.69079095680397e-10,1.0644056415524,515019.927527882,-1.20613395814139e-16,0.0624165355101984,0,0,0,-7.77862478304738,-7.71620824753719,-7.77862478304738,1.0644056415524,515019.927527883,1.71606556125741e-16
28,-7.96633003400943,0.505983420330621,-0.451546738436649,3.51612073544317e-11,1.04285278642538,62839.6585107754,-6.85562717706034e-17,0.0419598849657806,0.0122222222222222,0,0,-7.96633003400943,-7.92437014904365,-7.96633003400943,1.04285278642538,62839.6585107754,3.81022374145661e-17
29,-7.52637423285913,0.502878345994928,-0.408862140289905,5.64886388101939e-10,1.04012100541689,141431.836374454,-4.4778995326548e-17,0.039336948599083,0,0,0,-7.52637423285913,-7.48703728426005,-7.52637423285913,1.04012100541689,141431.836374454,1.59779596960637e-16
30,-7.79244572535424,0.519323927854484,-0.370982468115633,3.99822909049628e-11,1.04270537077778,222183.863254054,2.68427255731593e-16,0.0418186528572685,0.0244444444444444,0,0,-7.79244572535424,-7.75062707249697,-7.79244572535424,1.04270537077778,222183.863254053,7.1590110383034e-17
31,-8.07650059393181,0.504960627985235,-0.404178264883182,7.69323241399604e-11,1.05552299075081,151180.399118342,2.53439244899154e-16,0.0540363315416763,0.0244444444444444,0,0,-8.07650059393181,-8.02246426239014,-8.07650059393181,1.05552299075081,151180.399118342,1.53673370325199e-16
32,-7.72078588745976,0.526334675561623,-0.393070510707254,8.31503180464533e-11,1.04136059059748,67540.1937453977,1.05363248989774e-16,0.0405280038034918,0.0211111111111111,0,0,-7.72078588745976,-7.68025788365627,-7.72078588745976,1.04136059059748,67540.1937453976,7.54026470891252e-17
33,-7.79874113178984,0.478212878189444,-0.430499032831396,2.40279272371571e-10,1.05343797757037,199324.503267109,2.68866719012174e-16,0.0520580972743113,0,0,0,-7.79874113178984,-7.74668303451553,-7.79874113178984,1.05343797757037,199324.503267109,5.03146906854429e-17
