"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta0",-1.52214568450129,-1.52406298898646,-0.00191730448517502,0.0090761632039761,1,3884.19178316993,13.0255023765003,NA,"S3","rep02","revised_kappa_collapsed"
"beta1",0.5,0.487064955506452,-0.0129350444935478,0.0160774219344283,1,1519.49131643869,5.09556140845114,NA,"S3","rep02","revised_kappa_collapsed"
"beta2",-0.4,-0.416288524009095,-0.0162885240090947,0.018755034967923,1,1941.65640455983,6.51127738376008,NA,"S3","rep02","revised_kappa_collapsed"
"r_mean",15,16.4143257508446,1.41432575084465,1.68496014611901,1,815.735386703888,2.73554031604367,NA,"S3","rep02","revised_kappa_collapsed"
"beta0",-1.40397869793906,-1.40067502287606,0.00330367506300022,0.010032351973174,1,3790.33207744681,12.6917647288478,NA,"S3","rep03","revised_kappa_collapsed"
"beta1",0.5,0.502041726410007,0.00204172641000677,0.0104817736768853,1,471.4291156403,1.57856021577557,NA,"S3","rep03","revised_kappa_collapsed"
"beta2",-0.4,-0.409995584940911,-0.00999558494091085,0.013801625118441,1,1892.67506206544,6.33754143570265,NA,"S3","rep03","revised_kappa_collapsed"
"r_mean",15,14.7683564056896,-0.231643594310356,0.833968597757644,1,1923.88198915827,6.44203649536489,NA,"S3","rep03","revised_kappa_collapsed"
"beta0",-1.59011227919885,-1.59476419690342,-0.00465191770456919,0.010574002495792,1,3207.02779853562,10.5664650210394,NA,"S3","rep04","revised_kappa_collapsed"
"beta1",0.5,0.505671544822105,0.00567154482210486,0.011567655145133,1,1361.24571100314,4.48501107378064,NA,"S3","rep04","revised_kappa_collapsed"
